291, 86, 14, 3
299, 89, 27, 1
225, 55, 30, 1
244, 64, 6, 2
219, 54, 23, 2
222, 55, 16, 1
293, 88, 28, 2
285, 81, 33, 3
271, 74, 24, 4
245, 65, 19, 3
238, 61, 3, 4
218, 53, 43, 1
233, 60, 2, 2
295, 88, 34, 3
264, 73, 24, 3
259, 72, 29, 3
282, 79, 18, 1
250, 68, 24, 1
213, 52, 7, 2
234, 60, 4, 1
267, 73, 23, 3
254, 69, 28, 3
304, 92, 28, 4
229, 59, 23, 1
286, 82, 18, 1
207, 49, 5, 1
287, 82, 25, 2
241, 63, 4, 3
294, 88, 33, 3
235, 60, 5, 2
305, 92, 40, 2
276, 77, 17, 2
272, 75, 11, 1
248, 67, 27, 2
273, 76, 17, 1
281, 78, 27, 4
274, 76, 28, 2
208, 49, 22, 3
101, 46, 17, 4
231, 59, 6, 1
262, 73, 15, 4
228, 58, 41, 2
270, 74, 31, 2
230, 59, 39, 1
266, 73, 41, 1
265, 73, 30, 4
303, 92, 11, 1
275, 76, 32, 1
237, 61, 2, 2
200, 46, 34, 1
280, 78, 39, 2
296, 88, 35, 2
220, 55, 9, 2
239, 61, 4, 2
217, 53, 34, 2
278, 77, 38, 2
242, 63, 6, 1
289, 86, 13, 4
98, 40, 24, 4
205, 48, 0, 2
252, 69, 8, 3
209, 51, 17, 3
251, 68, 30, 1
257, 70, 25, 1
226, 56, 38, 4
223, 55, 21, 3
300, 90, 12, 2
240, 63, 2, 4
255, 69, 30, 3
297, 88, 37, 4
221, 55, 15, 2
100, 44, 2, 4
232, 60, 1, 1
96, 38, 23, 4
91, 39, 38, 4
261, 73, 14, 1
214, 53, 8, 1
298, 89, 12, 1
236, 61, 1, 2
211, 51, 4, 4
204, 47, 3, 4
279, 78, 18, 4
260, 72, 24, 2
290, 84, 8, 3
215, 53, 12, 3
249, 68, 16, 1
210, 51, 27, 3
212, 52, 11, 1
269, 74, 19, 1
253, 69, 16, 3
277, 77, 21, 3
288, 82, 26, 4
284, 81, 19, 3
93, 45, 41, 3
206, 49, 2, 1
256, 70, 9, 4
243, 64, 5, 3
216, 53, 15, 4
227, 58, 18, 2
263, 73, 18, 3
301, 90, 20, 3
99, 41, 17, 4
246, 65, 36, 4
224, 55, 27, 4
258, 71, 39, 2
247, 67, 21, 2
